SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,STATUS,PUBLIC_NAME,POINT_X,Longitude,Latitude,LEDSIGN,ADA,
6696,,TAYLOR,THROOP,EB,NS,157,,CHICAGO,In Service,Taylor & Throop,-87.659294,41.869314,Point,0,1
22,,JACKSON,KARLOV,EB,FS,126,,CHICAGO,In Service,Jackson & Karlov,-87.727808,41.877007,Point,0,0
4767,,FOSTER,MONTICELLO,EB,NS,92,,CHICAGO,In Service,Foster & Monticello,-87.71978,41.975526,Point,0,1
1790,,CLARK,ALBION,SB,NS,22,N22,CHICAGO,In Service,Clark & Albion,-87.671981,42.001785,Point,0,1
11474,,RIDGE,BROADWAY/BRYN MAWR,NWB,FS,84,,CHICAGO,In Service,Ridge & Broadway/Bryn Mawr,-87.660447,41.983932,Point,0,1
1368,,LINCOLN,BERWYN,SEB,NS,11,,CHICAGO,In Service,Lincoln & Berwyn,-87.692578,41.977713,Point,0,1
11877,,CALIFORNIA,DEVON,SB,NS,93,,CHICAGO,In Service,California & Devon,-87.699728,41.997646,Point,1,1
5173,,RACINE,60TH STREET,SB,NS,44,,CHICAGO,In Service,Racine & 60th Street,-87.654695,41.785137,Point,0,0
5182,,RACINE,68TH STREET,SB,NS,44,,CHICAGO,In Service,Racine & 68th Street,-87.654342,41.770578,Point,0,1
10235,,CICERO,IOWA,SB,NS,54,,CHICAGO,In Service,Cicero & Iowa,-87.74591,41.896936,Point,0,1
5368,,BROADWAY,SURF (north leg),SB,NS,36,,CHICAGO,In Service,Broadway & Surf,-87.64431,41.934928,Point,0,1
9925,,NORTHWEST HWY,OVERHILL,SEB,FS,68,,CHICAGO,In Service,Northwest Hwy & Overhill,-87.818709,42.004327,Point,0,1
9936,,NORTHWEST HWY,NIAGARA,SEB,FT,68,,CHICAGO,In Service,Northwest Hwy & Niagara,-87.80084,41.9934,Point,0,1
16069,,CICERO,PERSHING,SB,FS,54B,,CHICAGO,In Service,Cicero & Pershing,-87.743693,41.821796,Point,0,1
2259,,KING DRIVE,90TH STREET,SB,FS,3,,CHICAGO,In Service,King Drive & 90th Street,-87.614454,41.730966,Point,0,0
14102,,JEFFERSON PARK,BLUE LINE STATION/SOUTH B,SWB,TERM,81,N81,CHICAGO,In Service,Jefferson Park Transit Center,-87.76185,41.969849,Point,0,1
5353,,BROADWAY,CULLOM,SB,MT,36,,CHICAGO,In Service,Broadway & Cullom,-87.654145,41.960081,Point,1,1
6488,,WENTWORTH,CERMAK,NB,NS,24,,CHICAGO,In Service,Wentworth & Cermak,-87.631918,41.852698,Point,0,1
5710,,IRVING PARK,KEYSTONE,WB,NS,80,<Null>,CHICAGO,In Service,Irving Park & Keystone (Blue Line),-87.729039,41.953746,Point,0,1
4723,,JACKSON,CAMPBELL,WB,NS,126,,CHICAGO,In Service,Jackson & Campbell,-87.688685,41.877591,Point,0,1
8099,,47TH STREET,ALBANY,WB,NS,47,,CHICAGO,In Service,47th Street & Albany,-87.701405,41.808223,Point,0,1
237,,CONGRESS,KARLOV,WB,NS,7,,CHICAGO,In Service,Congress & Karlov,-87.727747,41.874399,Point,0,1
458,,MADISON,PEORIA,WB,NS,20,N20,CHICAGO,In Service,Madison & Peoria,-87.649477,41.8818,Point,1,1
10122,,71ST STREET,SPAULDING,WB,NT,67,,CHICAGO,In Service,71st Street & Spaulding,-87.7052,41.764399,Point,0,0
335,,ROOSEVELT,MAY,WB,NS,12,,CHICAGO,In Service,Roosevelt & May,-87.654991,41.867113,Point,0,1
