X,Y,gid,Name,description,ASSET_ID,SHAPE.LEN,OBJECTID_1,DESCRIPTIO,LINES,ALT_LEGEND,BRANCH,TYPE,LEGEND,Field_1
-87.6583714380938,41.966785780753,2,"Red, Purple Line",,21100002,1800.132896,2,Lawrence to Wilson,"Red, Purple Line",RDPR,Red Line North Side,Elevated or at Grade,RD,"Red, Purple Line"
-87.6569443702229,41.9602123924857,3,"Red, Purple Line",,21100003,4256.243677,3,Wilson to Sheridan,"Red, Purple Line",RDPR,Red Line North Side,Elevated or at Grade,RD,"Red, Purple Line"
-87.6536519758371,41.950841415824,4,"Red, Purple Line",,21100004,2581.713736,4,Sheridan to Addison,"Red, Purple Line",RDPR,Red Line North Side,Elevated or at Grade,RD,"Red, Purple Line"
-87.6535248517962,41.944933404772,5,"Red, Purple Line",,21100005,1918.716686,5,Addison to Clark Junction,"Red, Purple Line",RDPR,Red Line North Side,Elevated or at Grade,RD,"Red, Purple Line"
-87.6533447169268,41.9381412294066,7,"Brown, Purple (Express), Red",,21100007,1355.336277,7,Belmont to Wellington,"Brown, Purple (Express), Red",RPB,Red Line North Side,Elevated or at Grade,RD,"Brown, Purple (Express), Red"
-87.6529776988658,41.9291051378649,8,"Brown, Purple (Express), Red",,21100008,2799.749677,8,Diversey to Fullerton,"Brown, Purple (Express), Red",RPB,Red Line North Side,Elevated or at Grade,RD,"Brown, Purple (Express), Red"
-87.6527505105902,41.9214233825999,9,"Brown, Purple (Express), Red",,21100009,2491.420662,9,Fullerton to Armitage,"Brown, Purple (Express), Red",RPB,Red Line North Side,Elevated or at Grade,RD,"Brown, Purple (Express), Red"
-87.678359679791,41.8755950409516,10,Blue Line (Forest Park),,21100010,3946.196465,10,Western to Medical District,Blue Line (Forest Park),BL,Blue Line Forest Park,Elevated or at Grade,BL,Blue Line (Forest Park)
-87.68345495813,42.0563396797681,12,Purple Line,,21100012,1504.342568,12,Noyes to Foster,Purple Line,PR,Purple Line Evanston,Elevated or at Grade,PR,Purple Line
-87.6825932691007,42.0448599304045,13,Purple Line,,21100013,2284.096902,13,Davis to Dempster,Purple Line,PR,Purple Line Evanston,Elevated or at Grade,PR,Purple Line
