X,Y,Name,description,altitudeMode,PKNRD,ADA,LINES,STATION_ID,POINT_Y,POINT_X,LONGNAME,ADDRESS,GTFS,Field_1
-87.6258814744889,41.831678020726,35-Bronzeville-IIT,,clampToGround,No,ADA Accessible,Green Line,1120,1882047.587074,1177050.915136,35-Bronzeville-IIT,16 E. 35th Street,41120,35-Bronzeville-IIT
-87.6592022794894,41.9936642600952,Granville,,clampToGround,No,ADA Accessible,Red Line,760,1941002.514489,1167506.039095,Granville,1119 W. Granville Avenue,40760,Granville
-87.6532664500465,41.9360326017433,Wellington,,clampToGround,No,ADA Accessible,"Brown, Purple (Express)",1210,1920014.046245,1169286.335032,Wellington,945 W. Wellington Avenue,41210,Wellington
-87.7519186259525,42.0389506924487,Dempster-Skokie,,clampToGround,Yes,ADA Accessible,Yellow Line,140,1957320.432456,1142189.799199,Dempster-Skokie,5001 W. Dempster Street,40140,Dempster-Skokie
-87.6294400596467,41.8831644256275,Washington,,clampToGround,No,Not ADA  Accessible,Blue Line,370,1900801.153299,1175927.28403,Washington/Dearborn,19 N. Dearborn,40370,Washington
-87.6885026059004,41.9662500472798,Western,,clampToGround,No,ADA Accessible,Brown Line,1480,1930951.297583,1159616.195119,Western-Ravenswood,4645 N. Western Avenue,41480,Western
-87.6747361074464,41.9470286544391,Addison,,clampToGround,No,ADA Accessible,Brown Line,1440,1923975.429417,1163413.938227,Addison-Ravenswood,1818 W. Addison Street,41440,Addison
-87.6786348843305,41.9664109718264,Damen,,clampToGround,No,ADA Accessible,Brown Line,90,1931030.290735,1162299.35493,Damen-Ravenswood,4643 N. Damen Avenue,40090,Damen
-87.6317338343594,41.8768553341419,LaSalle/Van Buren,,clampToGround,No,Not ADA  Accessible,"Brown, Orange, Pink, Purple (Express)",160,1898497.010449,1175321.456958,LaSalle/Van Buren,121 W. Van Buren Street,40160,LaSalle/Van Buren
-87.6274791177038,41.8740392431167,Harrison,,clampToGround,No,Not ADA  Accessible,Red Line,1490,1897480.330512,1176488.619071,Harrison,608 S. State Street,41490,Harrison
-87.7937833517588,41.8869875206757,Oak Park,,clampToGround,No,Not ADA  Accessible,Green Line (Lake),1350,1901870.06722,1131166.009621,Oak Park-Lake,100 S. Oak Park Avenue,41350,Oak Park
-87.6669509366128,41.8853113946418,Ashland,,clampToGround,No,ADA Accessible,"Green (Lake), Pink",170,1901501.956884,1165706.563893,Ashland-Lake,1601 W. Lake Street,40170,Ashland
-87.6475783101525,41.8911892931299,Grand,,clampToGround,No,Not ADA  Accessible,Blue Line (O'Hare),490,1903685.42031,1170964.658746,Grand/Milwaukee,502 N. Milwaukee Avenue,40490,Grand
-87.6774366544998,41.9097437915267,Damen,,clampToGround,No,Not ADA  Accessible,Blue Line,590,1910383.12246,1162783.21413,Damen/Milwaukee,1558 N. Damen Avenue,40590,Damen
-87.7123593505734,41.9381316688411,Belmont,,clampToGround,No,Not ADA  Accessible,Blue Line,60,1920656.947494,1153202.401577,Belmont-O'Hare,3355 W. Belmont Avenue,40060,Belmont
-87.7608922792759,41.9706341371842,Jefferson Park,,clampToGround,No,ADA Accessible,Blue Line,1280,1932409.028401,1139918.571549,Jefferson Park,4917 N. Milwaukee Avenue,41280,Jefferson Park
-87.631025797101,41.8103381318748,47th,,clampToGround,No,ADA Accessible,Red Line,1230,1874259.92345,1175712.492862,47th-Dan Ryan,220 W. 47th Street,41230,47th
-87.6058574174785,41.7803087668316,Cottage Grove,,clampToGround,No,ADA Accessible,Green Line,720,1863374.476528,1182666.518085,Cottage Grove,800 E. 63rd Street,40720,Cottage Grove
-87.644023127218,41.7790278671835,Halsted,,clampToGround,No,ADA Accessible,Green Line,940,1862821.97016,1172260.636475,Halsted/63rd,6321 S. Halsted Street,40940,Halsted
-87.6188261285835,41.8092088340794,47th,,clampToGround,No,ADA Accessible,Green Line,1080,1873875.82873,1179041.796929,47th-South Elevated,314 E. 47th Street,41080,47th
-87.6610607008597,42.0010733586636,Loyola,,clampToGround,No,ADA Accessible,Red Line,1300,1943698.465339,1166979.645238,Loyola,1200 W. Loyola Avenue,41300,Loyola
-87.6586684196959,41.977983991606,Berwyn,,clampToGround,No,Not ADA  Accessible,Red Line,340,1935289.679411,1167696.175159,Berwyn,1121 W. Berwyn Avenue,40340,Berwyn
-87.6281763525623,41.8966712118909,Chicago,,clampToGround,No,ADA Accessible,Red Line,1450,1905725.849368,1176230.958143,Chicago/State,800 N. State Street,41450,Chicago
-87.6393021645452,41.9104091793594,Sedgwick,,clampToGround,No,ADA Accessible,"Brown, Purple (Express)",800,1910707.2735,1173161.406268,Sedgwick,1536 N. Sedgwick Avenue,40800,Sedgwick
-87.725624930077,41.873888723507,Pulaski,,clampToGround,No,Not ADA  Accessible,Blue Line (Congress),920,1897220.947728,1149758.983206,Pulaski-Congress,530 S. Pulaski Road,40920,Pulaski
-87.8069608726502,41.8734900509645,Harlem,,clampToGround,No,Not ADA  Accessible,Blue Line (Congress),980,1896929.332495,1127608.009233,Harlem-Congress,701 S. Harlem Avenue,40980,Harlem
-87.7059782953903,41.8744255080723,Kedzie-Homan,,clampToGround,No,ADA Accessible,Blue Line (Congress),250,1897455.047184,1155108.324907,Kedzie-Homan,530 S. Kedzie Avenue,40250,Kedzie-Homan
-87.6276964595126,41.8807445578545,Monroe,,clampToGround,No,Not ADA  Accessible,Red Line,1090,1899923.25429,1176409.337151,Monroe/State,26 S. State,41090,Monroe
-87.783661032938,41.8871593973278,Ridgeland,,clampToGround,No,Not ADA  Accessible,Green Line (Lake),610,1901950.19138,1133921.860375,Ridgeland,36 N. Ridgeland Avenue,40610,Ridgeland
-87.6873643813982,41.9161574281936,Western,,clampToGround,No,ADA Accessible,Blue Line (O'Hare),670,1912699.74915,1160063.300144,Western/Milwaukee,1909 N. Western Avenue,40670,Western
-87.6183241077998,41.7951766528338,Garfield,,clampToGround,Yes,ADA Accessible,Green Line,510,1868763.718133,1179221.195842,Garfield-South Elevated,320 E. Garfield Boulevard,40510,Garfield
-87.6805873686258,41.8295600871101,35th/Archer,,clampToGround,Yes,ADA Accessible,Orange Line,120,1881157.786881,1162147.779122,35th/Archer,3528 S. Leavitt Street,40120,35th/Archer
-87.7054279567006,41.8541305857269,Kedzie,,clampToGround,No,ADA Accessible,Pink,1040,1890060.721929,1155312.298795,Kedzie-Douglas,1944 S. Kedzie Avenue,41040,Kedzie
-87.6496422307903,41.8755162082229,UIC-Halsted,,clampToGround,No,ADA Accessible,Blue Line,350,1897969.67528,1170448.200249,UIC-Halsted,430 S. Halsted Street,40350,UIC-Halsted
-87.6317220754726,41.875567625013,LaSalle,,clampToGround,No,Not ADA  Accessible,Blue Line,1340,1898027.796753,1175328.495166,LaSalle,150 W. Congress Parkway,41340,LaSalle
-87.652644306004,41.9182165671508,Armitage,,clampToGround,No,ADA Accessible,"Brown, Purple (Express)",660,1913523.191327,1169507.151161,Armitage,944 W. Armitage Avenue,40660,Armitage
-87.7254037683182,41.885411978762,Pulaski,,clampToGround,No,ADA Accessible,Green Line (Lake),30,1901420.430356,1149789.473062,Pulaski-Lake,4000 W. Lake Street,40030,Pulaski
-87.7165228329175,41.8849043788112,Conservatory,,clampToGround,No,ADA Accessible,Green Line (Lake),1670,1901252.718356,1152209.095208,Conservatory-Central Park,3631 W. Lake Street,41670,Conservatory
-87.653625930771,41.9474279965308,Addison,,clampToGround,No,ADA Accessible,Red Line,1420,1924165.785385,1169155.598136,Addison-North Main,940 W. Addison Street,41420,Addison
-87.6292956646373,41.8781825179321,Jackson,,clampToGround,No,ADA Accessible,Blue Line,70,1898986.072337,1175981.497151,Jackson/Dearborn,328 S. Dearborn,40070,Jackson
-87.6783294160136,42.0276118476837,South Boulevard,,clampToGround,No,Not ADA  Accessible,"Purple Line, Evanston Express",840,1953332.902468,1162211.833138,South Boulevard,601 W. South Boulevard,40840,South Boulevard
-87.6588402850595,41.9835042243168,Bryn Mawr,,clampToGround,No,Not ADA  Accessible,Red Line,1380,1937300.913461,1167633.603127,Bryn Mawr,1119 W. Bryn Mawr Avenue,41380,Bryn Mawr
-87.6338535299314,41.8826950175612,Washington/Wells,,clampToGround,No,ADA Accessible,"Brown, Orange, Pink, Purple (Express)",730,1900620.274451,1174726.838845,Washington/Wells,100 N. Wells Street,40730,Washington/Wells
-87.6260978998203,41.879510218435,Adams/Wabash,,clampToGround,No,Not ADA  Accessible,"Brown, Orange, Pink,  Purple (Express), Green",680,1899477.045266,1176848.366655,Adams/Wabash,201 S. Wabash Avenue,40680,Adams/Wabash
-87.8031759871921,41.8868483025386,Harlem,,clampToGround,No,ADA Accessible,Green Line (Lake),20,1901803.395604,1128608.760338,Harlem-Lake,1 S. Harlem Avenue,40020,Harlem
-87.6244147453835,41.7223759833053,95/Dan Ryan,,clampToGround,No,ADA Accessible,Red Line,450,1842222.005725,1177778.980672,95th/Dan Ryan,14 W. 95th Street,40450,95/Dan Ryan
-87.6311691700312,41.7954182611776,Garfield,,clampToGround,No,ADA Accessible,Red Line,1170,1868822.887157,1175717.820478,Garfield-Dan Ryan,220 W. Garfield Boulevard,41170,Garfield
-87.6190357812778,41.8164632219399,43rd,,clampToGround,No,ADA Accessible,Green Line,1270,1876518.81702,1178962.667585,43rd,314 E. 43rd Street,41270,43rd
-87.729177265582,41.9529402607856,Irving Park,,clampToGround,No,Not ADA  Accessible,Blue Line,550,1926020.539691,1148588.588581,Irving Park-O'Hare,4131 W. Irving Park Road,40550,Irving Park
-87.6293777004522,41.8807034602531,Monroe,,clampToGround,No,Not ADA  Accessible,Blue Line,790,1899904.518418,1175951.621183,Monroe/Dearborn,114 S. Dearborn,40790,Monroe
-87.7131420353283,41.9679281505856,Kimball,,clampToGround,Yes,ADA Accessible,Brown Line,1290,1931513.337392,1152910.875945,Kimball,4755 N. Kimball Avenue,41290,Kimball
-87.7088437925288,41.9660926060999,Kedzie,,clampToGround,No,ADA Accessible,Brown Line,1180,1930852.948271,1154084.662314,Kedzie-Ravenswood,4648 N. Kedzie Avenue,41180,Kedzie
-87.6739458797182,41.8756354278311,Medical District,,clampToGround,No,ADA Accessible,Blue Line,810,1897961.331984,1163828.914995,Illinois Medical District,430 S. Damen Avenue,40810,Medical District
-87.7767852692551,41.8708863928014,Austin,,clampToGround,No,Not ADA  Accessible,Blue Line,10,1896032.408335,1135832.541209,Austin-Congress,1050 S. Austin Blvd,40010,Austin
-87.7085413860205,41.9297280413136,Logan Square,,clampToGround,No,ADA Accessible,Blue Line,1020,1917602.196771,1154263.501098,Logan Square,2620 N. Milwaukee Av,41020,Logan Square
-87.6185015998759,41.8020915834062,51st,,clampToGround,No,ADA Accessible,Green Line,130,1871283.076344,1179151.842113,51st,314 E. 51st Street,40130,51st
-87.6653116633286,41.8393558778558,Ashland,,clampToGround,No,ADA Accessible,Orange Line,1060,1884759.337732,1166283.243574,Ashland-Midway,3011 S. Ashland Avenue,41060,Ashland
-87.6691601248801,41.8579077074938,18th,,clampToGround,No,ADA Accessible,Pink,830,1891511.434506,1165182.263348,18th,1710 W. 18th Street,40830,18th
-87.6851792210598,41.8543968365631,Western,,clampToGround,No,ADA Accessible,Pink,740,1890198.732809,1160828.02104,Western-Douglas,2009 S. Western Avenue,40740,Western
-87.6835429258684,42.04771009366,Davis,,clampToGround,No,ADA Accessible,"Purple Line, Evanston Express",50,1960646.079307,1160739.716144,Davis,1612 N. Benson Avenue,40050,Davis
-87.8380259850477,41.98429405689,Cumberland,,clampToGround,Yes,ADA Accessible,Blue Line,230,1937256.045877,1118914.130697,Cumberland,5800 N. Cumberland Avenue,40230,Cumberland
-87.6251783538493,41.7504123417925,79th,,clampToGround,No,ADA Accessible,Red Line,240,1852436.465894,1177486.458944,79th,15 W. 79th Street,40240,79th
-87.9018484001366,41.9788767379411,O'Hare,,clampToGround,No,ADA Accessible,Blue Line,890,1935188.075315,1101572.003065,O'Hare Airport,1000 O'Hare Drive,40890,O'Hare
-87.6533804879926,41.9397507452146,Belmont,,clampToGround,No,ADA Accessible,"Red, Brown, Purple (Express)",1320,1921368.701478,1169244.560184,Belmont-North Main,945 W. Belmont Avenue,41320,Belmont
-87.6728924507902,42.0190632192358,Howard,,clampToGround,Yes,ADA Accessible,"Red, Yellow, Purple, Evanston Express",900,1950229.068353,1163713.080115,Howard,1649 W. Howard Street,40900,Howard
-87.7549864942811,41.8871632256061,Laramie,,clampToGround,No,ADA Accessible,Green Line (Lake),700,1902002.904596,1141729.752607,Laramie,5148 W. Lake Street,40700,Laramie
-87.765649505506,41.8873890135037,Central,,clampToGround,No,ADA Accessible,Green Line (Lake),280,1902065.7933,1138825.735196,Central-Lake,350 N. Central Avenue,40280,Central
-87.6690921120182,42.0158761800097,Jarvis,,clampToGround,No,Not ADA  Accessible,Red Line,1190,1949075.678528,1164754.772276,Jarvis,1523 W. Jarvis Street,41190,Jarvis
-87.6274023829473,41.8673676650746,Roosevelt,,clampToGround,No,ADA Accessible,Red Line,1400,1895049.388302,1176529.511231,Roosevelt/State,1167 S. State Street,41400,Roosevelt
-87.6884345110455,41.8755295730401,Western,,clampToGround,No,Not ADA  Accessible,Blue Line (Congress),220,1897892.777744,1159883.322928,Western-Congress,430 S. Western Avenue,40220,Western
-87.6695432279987,41.8715630033906,Polk,,clampToGround,No,ADA Accessible,Pink,1030,1896486.588943,1165039.424308,Polk,1713 W. Polk Street,41030,Polk
-87.7451721779139,41.8716080495853,Cicero,,clampToGround,No,Not ADA  Accessible,Blue Line (Congress),970,1896352.789263,1144440.976673,Cicero-Congress,720 S. Cicero Avenue,40970,Cicero
