Internal Edit,Agency,Program Model,Division,Site Name,Address,Provider,Age,Gender,Yrs in Practice,Expertise 1,Expertise 2,Expertise 3,Transportation Assistance,Street Number,Street Direction,Street Name,Street Type,Address Line 2,City,State,ZIP,Phone Number,Phone Extension,Ward,Community Area,Community Area Number,X Coordinate,Y Coordinate,Latitude,Longitude,Location,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
,Chicago Youth Centers,Head Start,Children Services,Fellowship House,844 W 32ND ST,Dan Merkle,36,Male,6,Youth,Truancy,Anxiety,,844,W,32ND,ST,,Chicago,IL,60608,3123262282,,11,BRIDGEPORT,60,1170982.804,1883771.279,41.836543,-87.6480954,"(41.836543, -87.6480954)",43,58,14920,676,48,26
,Family Rescue Inc,Legal Advocacy and Case Management,Domestic Violence,Family Rescue Inc Legal Advocacy,555 W HARRISON ,Katelynn Hunt,38,Female,5,Women,Domestic Violence,Families,Yes,555,W,HARRISON,,ROOM 2200,Chicago,IL,60607,7733751918,38,25,NEAR WEST SIDE,28,1172630.445,1897533.478,41.8742713,-87.6416428,"(41.8742713, -87.6416428)",44,29,14917,97,26,48
,"Unity Parenting and Counseling, Inc.",Homeless Youth Overnight Shelter: Low-Threshold,Homeless Services,Ujima Village,7320 S YALE ,Grant Peterson,39,Male,9,Parenting,Mental Illness,Substance Abuse,No,7320,S,YALE,,,Chicago,IL,60621,3124550007,,6,GREATER GRAND CROSSING,69,1175852.81,1856324.639,41.7611187,-87.6310485,"(41.7611187, -87.6310485)",11,67,21559,494,32,17
,"Alliance Rehab, Inc.",Comprehensive Fitness,Senior Services,"Alliance Rehab, Inc.",28100  TORCH PWY,Alison Ranks,42,Female,8,Adults,Substance Abuse,Trauma,No,28100,,TORCH,PWY,,Chicago,IL,60555,6304135800,,,,,,,,,,,,,,,
,Sarah's Inn,Counseling and Case Management Services,Domestic Violence,Sarah's Inn Counseling and Case Management,309 W HARRISON ST,Sarah Cook,42,Female,12,Domestic Violence,Economic Services,Homelessness,,309,W,HARRISON,ST,,Chicago,IL,60304,7083863305,1031,25,LOOP,32,1174313.956,1897574.451,41.8743463,-87.6354606,"(41.8743463, -87.6354606)",44,38,14913,12,26,48
,"SGA Youth & Family Services, NFP",Early Head Start – Child Care Partnership,Children Services,FCCH-Martha Cruz-Ornelas,2445 S TRUMBULL AVE,Michael Turnbull,52,Male,22,Youth,Family,Trauma,,2445,S,TRUMBULL,AVE,,Chicago,IL,60623,,,22,SOUTH LAWNDALE,30,1153800.896,1887355.525,41.8467374,-87.7110474,"(41.8467374, -87.7110474)",57,32,21569,755,28,14
,"Family Focus, Inc.",Early Head Start – RTL,Children Services,Family Focus - Englewood,6727 S WESTERN AVE,Marianne Scott,54,Female,20,Grief,Depression,Anxiety,,6727,S,WESTERN,AVE,,Chicago,IL,60636,7739620366,,17,CHICAGO LAWN,66,1161576.86,1859868.339,41.771151,-87.6832728,"(41.771151, -87.6832728)",23,64,22257,370,31,17
,Henry Booth House,Head Start,Children Services,Hope for Youth,5900 W IOWA ST,Henry Booth,56,Male,16,Youth,Trauma,Depression,Yes,5900,W,IOWA,ST,,Chicago,IL,60651,7736260322,,29,AUSTIN,25,1136938.468,1905439.015,41.8966796,-87.7724993,"(41.8966796, -87.7724993)",5,26,4299,671,7,52
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Israel Methodist Cmty Church,7606 S COTTAGE GROVE AVE,Greater Chicago Food,,,,Emergency Food Assistance,,,Yes,7606,S,COTTAGE GROVE,AVE,,Chicago,IL,60619,773 4831131,,6,GREATER GRAND CROSSING,69,1182842.461,1854697.855,41.7564952,-87.6054816,"(41.7564952, -87.6054816)",61,67,21546,496,32,31
,Heartland Human Care Services Inc,Transitional Jobs Program,Workforce Services,"Heartland Human Care Services, Inc.",400 W 76TH ST,Heartland Human Care Services,,,,Career Counseling,Job Stress,Job Placement,Yes,400,W,76TH,ST,407 N. Kedzie,Chicago,IL,60636,312 8704938,,6,GREATER GRAND CROSSING,69,1174924.165,1854583.855,41.7563625,-87.6345038,"(41.7563625, -87.6345038)",59,67,21554,495,32,17
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Onward House,600 N LEAVITT ST,Greater Chicago Food Depository,,,,Emergency Food Assistance,,,No,600,N,LEAVITT,ST,,Chicago,IL,60612,312 6666726,,26,WEST TOWN,24,1161591.582,1903991.956,41.8922309,-87.6819925,"(41.8922309, -87.6819925)",28,25,21184,546,49,10
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Jesus Christ Food Pantry,3500 W 63RD PL,Greater Chicago Food Depository,,,,Emergency Food Assistance,,,No,3500,W,63RD,PL,,Chicago,IL,60629,773 4363806,,23,CHICAGO LAWN,66,1154130.309,1862322.554,41.778037,-87.7105043,"(41.778037, -87.7105043)",58,64,21867,293,6,44
