Internal Edit,Agency,Program Model,Division,Site Name,Address,Provider,Expertise 1,Street Number,Street Direction,Street Name,Street Type,Address Line 2,City,State,ZIP,Phone Number,Phone Extension,Ward,Community Area,Community Area Number,X Coordinate,Y Coordinate,Latitude,Longitude,Location,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux,website,wic accepted,language
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Israel Methodist Cmty Church,7606 S COTTAGE GROVE AVE,Greater Chicago Food,Emergency Food Assistance,7606,S,COTTAGE GROVE,AVE,,Chicago,IL,60619,773 4831131,,6,GREATER GRAND CROSSING,69,1182842.461,1854697.855,41.7564952,-87.6054816,"(41.7564952, -87.6054816)",61,67,21546,496,32,31,https://hh.emrconnect.org/portal/default.aspx,n/a,somali
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Onward House,600 N LEAVITT ST,Greater Chicago Food Depository,Emergency Food Assistance,600,N,LEAVITT,ST,,Chicago,IL,60612,312 6666726,,26,WEST TOWN,24,1161591.582,1903991.956,41.8922309,-87.6819925,"(41.8922309, -87.6819925)",28,25,21184,546,49,10,https://hh.emrconnect.org/portal/default.aspx,n/a,french
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Jesus Christ Food Pantry,3500 W 63RD PL,Greater Chicago Food Depository,Emergency Food Assistance,3500,W,63RD,PL,,Chicago,IL,60629,773 4363806,,23,CHICAGO LAWN,66,1154130.309,1862322.554,41.778037,-87.7105043,"(41.778037, -87.7105043)",58,64,21867,293,6,44,https://hh.emrconnect.org/portal/default.aspx,n/a,somali
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,TSA: Midwest Corps Pantry,20 S CAMPBELL AVE,Greater Chicago Food Depository,Emergency Food Assistance,20,S,CAMPBELL,AVE,,Chicago,IL,60612,312 7334801,,27,NEAR WEST SIDE,28,1159718.765,1899691.125,41.8804678,-87.6889891,"(41.8804678, -87.6889891)",28,29,21184,785,46,48,https://hh.emrconnect.org/portal/default.aspx,n/a,somali
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Family Cares Mission Pantry,7859 S ASHLAND AVE,Greater Chicago Food Depository,Emergency Food Assistance,7859,S,ASHLAND,AVE,,Chicago,IL,60620,7737235400,,17,AUBURN GRESHAM,71,1167085.4,1852367.358,41.7504513,-87.6632946,"(41.7504513, -87.6632946)",59,70,21554,557,31,17,https://hh.emrconnect.org/portal/default.aspx,n/a,chinese
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Grace Evangelic Church,4201 N MONTICELLO AVE,Greater Chicago Food Depository,Emergency Food Assistance,4201,N,MONTICELLO,AVE,,Chicago,IL,60618,7737776907,,35,IRVING PARK,16,1151343.952,1927708.489,41.9575184,-87.7190038,"(41.9575184, -87.7190038)",39,16,21538,364,12,2,https://hh.emrconnect.org/portal/default.aspx,n/a,spanish
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Christ Apostolic Church of IL,8157 S EXCHANGE AVE,Greater Chicago Food Depository,Emergency Food Assistance,8157,S,EXCHANGE,AVE,,Chicago,IL,60617,773 7212119,,7,SOUTH CHICAGO,46,1197290.529,1851205.599,41.7465646,-87.5526494,"(41.7465646, -87.5526494)",25,42,21202,505,37,43,https://hh.emrconnect.org/portal/default.aspx,n/a,english
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,Pilgrim Rest M.B.C.,1901 W WASHINGTON BLVD,Greater Chicago Food Depository,Emergency Food Assistance,1901,W,WASHINGTON,BLVD,,Chicago,IL,60612,312 2437579,,27,NEAR WEST SIDE,28,1163695.836,1900670.343,41.883072,-87.6743581,"(41.883072, -87.6743581)",28,29,21184,90,46,41,https://hh.emrconnect.org/portal/default.aspx,n/a,english
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,West Point Baptist Church,3566-72 S COTTAGE GROVE AVE,,Emergency Food Assistance,,S,COTTAGE GROVE,AVE,,Chicago,IL,60653,773 5387590,,4,OAKLAND,36,1181437.836,1881234.262,41.8293459,-87.6098107,"(41.8293459, -87.6098107)",36,2,4301,582,10,1,https://hh.emrconnect.org/portal/default.aspx,n/a,spanish
,Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Human Services Delivery,St. Kevin Food Pantry,10509 S TORRENCE AVE,Greater Chicago Food Depository,Emergency Food Assistance,10509,S,TORRENCE,AVE,,Chicago,IL,60617,773 7212563,,10,SOUTH DEERING,51,1195565.44,1835777.127,41.7042702,-87.5594786,"(41.7042702, -87.5594786)",25,48,21202,527,47,47,https://hh.emrconnect.org/portal/default.aspx,n/a,english
